Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C Time
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B6 222.75 0.13 5.75 0.00 0.00 20170923104041
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.13 5.50 0.00 0.00 20170923104042
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BA 222.25 0.13 5.50 0.00 0.00 20170923104042
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BC 222.50 0.13 5.50 0.00 0.00 20170923104042
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BF 222.50 0.13 5.50 0.00 0.00 20170923104042
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20C3 222.50 0.13 5.50 0.00 0.00 20170923104042
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20C7 222.50 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20CC 222.50 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20D1 222.50 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20D6 222.75 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20DB 222.50 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20E1 222.50 0.10 5.50 0.00 0.00 20170923104043
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20E6 222.50 0.10 5.50 0.00 0.00 20170923104044
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20EC 222.75 0.10 2.75 0.00 0.00 20170923104044
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20F1 222.50 0.10 3.00 0.00 0.00 20170923104044
