Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96   Time
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150000704
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150000875
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150001069
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150001251
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150001447
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150001644
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150001832
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002025
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002217
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002417
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002603
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002789
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150002993
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150003196
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150003394
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150003605
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150003790
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150003987
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150004188
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150004387
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150004588
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150004788
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150004986
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150005181
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150005391
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150005605
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150005818
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006010
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006208
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006397
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006587
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006785
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150006983
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150007168
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150007352
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150007549
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150007753
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150007950
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150008147
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150008338
B0 0000 00 00 00 00 00 00 00 00 00 0.000 0.000 0.000 0 0.000 0.000 0.000 0.000 0.000 0.000   20171114150008538
