Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 8D 8E 8F Time
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175405
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175405
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175405
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175405
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A0F 20170512175405
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A0C 20170512175405
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A06 20170512175405
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A01 20170512175405
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13FA 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13F0 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13DC 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13D0 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13C5 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13B1 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13A7 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 139A 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1384 20170512175406
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1375 20170512175407
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 135A 20170512175407
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1351 20170512175407
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1348 20170512175407
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 132D 20170512175407
D0 0800 00 00 00 00 00 FF 00 00 FF 0019 001C 0020 1313 20170512175407
D0 0802 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 130A 20170512175407
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12FE 20170512175407
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12E8 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12D7 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12CC 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12C6 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12C1 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12B9 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12B9 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12B9 20170512175408
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12C1 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12C4 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12CE 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12D7 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12E6 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12EE 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1308 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1316 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 132A 20170512175409
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1348 20170512175410
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175410
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 136A 20170512175410
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1375 20170512175410
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1382 20170512175410
