Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 Time
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.00 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BB 222.50 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.00 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.00 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102323
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.00 0.10 3.50 20170923102324
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102325
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BA 222.25 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102326
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102327
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102328
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BA 222.25 0.10 3.50 20170923102329
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BA 222.25 0.10 3.50 20170923102329
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.10 3.50 20170923102329
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102329
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102329
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83A F83E 20BB 222.25 0.10 3.50 20170923102329
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.12 5.00 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.75 0.13 6.00 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.25 0.13 5.75 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.13 5.50 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BD 222.50 0.13 5.25 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BF 222.50 0.13 5.50 20170923102330
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C2 222.50 0.13 5.50 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C5 222.75 0.13 5.50 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C8 222.50 0.11 5.25 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20CC 222.50 0.10 5.25 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20D0 222.50 0.10 5.25 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20D4 222.75 0.10 5.25 20170923102331
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20D8 222.75 0.10 5.25 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20DD 222.75 0.10 5.25 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20E1 222.00 0.10 5.25 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20E6 222.50 0.10 5.25 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20EA 222.50 0.10 5.25 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20EF 222.50 0.10 2.75 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F2 222.25 0.10 3.00 20170923102332
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F6 222.50 0.10 3.00 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.50 0.10 3.50 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FB 222.25 0.10 3.50 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 222.00 0.10 3.50 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FF 222.25 0.10 3.50 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2100 222.50 0.10 3.50 20170923102333
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.00 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2103 222.25 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.50 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.25 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.00 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.25 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.25 0.10 3.50 20170923102334
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.75 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.25 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.50 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.50 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.50 20170923102335
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.50 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.50 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.25 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.50 0.10 3.50 20170923102336
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.75 0.10 3.50 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.25 0.10 3.50 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.50 0.10 3.50 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.50 0.10 3.50 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.50 0.10 3.25 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.75 0.10 3.25 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.50 0.10 3.25 20170923102337
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.75 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.75 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.50 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.25 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.50 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.50 0.10 3.25 20170923102338
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2103 222.50 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2103 222.50 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2103 222.50 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2103 222.50 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.25 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.50 0.10 3.25 20170923102339
